Flughafen / Land;AbkÅrzung
Augsburg / Deutschland;AGB
Berlin-Schînefeld / Deutschland;SXF
Berlin-Tegel / Deutschland;TXL
Bremen / Deutschland;BRE
Dortmund / Deutschland;DTM
Dresden / Deutschland;DRS
DÅsseldorf / Deutschland;DUS
Erfurt / Deutschland;ERF
Frankfurt / Deutschland;FRA
Friedrichshafen / Deutschland;FDH
Hahn (Frankfurt-Hahn) / Deutschland;HHN
Hamburg / Deutschland;HAM
Hannover / Deutschland;HAJ
Karlsruhe-Baden / Deutschland;FKB
Kîln-Bonn / Deutschland;CGN
Leipzig-Halle / Deutschland;LEJ
Leipzig-Altenburg / Deutschland;AOC
LÅbeck / Deutschland;LBC
MÅnchen / Deutschland;MUC
MÅnster-OsnabrÅck / Deutschland;FMO
NÅrnberg / Deutschland;NUE
Paderborn / Deutschland;PAD
Rostock-Laage / Deutschland;RLG
SaarbrÅcken / Deutschland;SCN
Stuttgart / Deutschland;STR
Weeze / Deutschland;NRN
ZweibrÅcken / Deutschland;ZQW
Agadir / Marokko;AGA
Banjul / Gambia;BJL
Dakar / Senegal;DKR
Delhi / Indien;DEL
Djerba / Tunesien;DJE
Hurghada / égypten;HRG
Johannesburg / SÅdafrika;JNB
Kairo / égypten;CAI
Kapstadt / SÅdafrik;CPT
Kilimanjaro / Tansania;JRO
Luxor / égypten;LXR
Male / Malediven;MLE
MahÇ / Seychellen;SEZ
Marsa Alam / égypten;RMF
Mauritius / Mauritius;MRU
Mombasa / Kenia;MBA
Monastir / Tunesien;MIR
Nairobi / Kenia;NBO
Sal / Kapverden;SID
Sharm el Sheikh / égypten;SSH
Tunis / Tunesien;TUS
Windhuk (Windhoek) / Namibia;WDH
Abu Dhabi / Abu Dhabi;AUH
Bangkok / Thailand;BKK
Colombo / Sri Lanka;CMB
Delhi / Indien;DEL
Dubai / Verein. Arab. Emirate;DXB
Hanoi / Vietnam;HAN
Ho Shi Min (Saigon) / Vietnam;SGN
Hongkong / China;HKG
Jakarta / Indonesien;CGK
Koh Samui / Thailand;URT
Kuala Lumpur / Malaysia;KUL
Male / Malediven;MLE
Manila / Philippinen;MNL
Peking / China;PEK
Phuket / Thailand;HKT
Seoul / SÅdkorea;SEL
Shanghai / China;SHA
Sharjah / Verein. Arab. Emirate;SHJ
Singapur / Singapur;SIN
Tel Aviv / Israel;TLV
Tokio - Narita / Japan;NRT
Acapulco / Mexiko;ACA
Anchorage / USA;ANC
Antigua / Antigua ;ANU
Barbados / Barbados;BGI
Boston / USA;BOS
Buenos Aires / Argentinien;EZE
Calgary / Kanada;YYC
Cancun / Mexiko;CUN
Cayo Coco / Kuba;CCC
Chicago / USA;ORD
Detroit / USA;DTW
Fairbanks / USA;FAI
Fort Lauderdale / USA;FLL
Fort Myers / USA;RSW
Grenada / Grenada;GND
Halifax / Kanada;YHZ
Havanna / Kuba;HAV
Holguin / Kuba;HOG
Las Vegas / USA;LAS
Los Angeles / USA;LAX
Mexico City / Mexiko;MEX
Miami / USA;MIA
Moncton / Kanada;YQM
Montego Bay / Jamaica;MBJ
New York / USA;NYC
Orlando / USA;MCO
Porlamar / Venezuela;PMV
Puerto Plata / Dominikanische Rep.;POP
Punta Cana / Dominikanische Rep.;PUJ
Reno / USA;RNO
Rio de Janeiro / Brasilien;GIG
Saint Lucia / Karibik;UVF
San Francisco / USA;SFO
San Juan / Puerto Rico;SJU
Santiago de Chile / Chile;SCL
Sao Paulo / Brasilien;GRU
Seattle / USA;SEA
Tobago / Karibik;TAB
Toronto / Kanada;YYZ
Vancouver / Kanada;YVR
Varadero / Kuba;VRA
Washington / USA;IAD
Whitehorse / USA;YXY
Aukland / Neuseeland;AKL
Melbourne / Australien;MEL
Perth / Australien;PER
Sydney / Australien;SYD
Alicante / Spanien;ALC
Almeria / Spanien;LEI
Amsterdam / Niederlande;AMS
Ancona / Italien;AOI
Ankara / TÅrkei;ESB
Antalya / TÅrkei;AYT
Araxos / Griechenland (Peloponnes);GPA
Arrecife / Spanien (Lanzarote);ACE
Asturias (Costa Verde) / Spanien;OVD
Athen / Griechenland;ATH
Barcelona - City Airport / Spanien;BCN
Bari / Italien;BRI
Basel-MÅhlhausen / Schweiz;BSL
Bergamo bei Mailand / Italien;BGY
Bilbao / Spanien;BIO
Birmingham / Gro·britannien;BHX
Bodrum / TÅrkei;BJV
Bologna / Italien;BLQ
Bratislava / Slowakei;BTS
Brindisi / Italien;BDS
BrÅssel - National / Belgien;BRU
Charleroi bei BrÅssel / Belgien;CRL
Budapest / Ungarn;BUD
Burgas / Bulgarien;BOJ
Cagliari / Italien (Sardinien);CAG
Catania / Italien (Sizilien);CTA
Chania / Griechenland (Kreta);CHQ
Dalaman / TÅrkei;DLM
Dublin / Irland;DUB
Dubrovnik / Kroatien;DBV
East Midlands / England;EMA
Egilsstadir / Island;EGS
Edinburgh / Schottland;EDI
Elba / Italien;EBA
Faro / Portugal;FAO
Florenz / Italien;FLR
Fuerteventura / Spanien;FUE
Funchal / Portugal (Madeira);FNC
Genf / Schweiz;GVA
Girona (Costa Brava) / Spanien;GRO
Glasgow / Gro·britannien;GLA
Guernsey / Kanalinseln;GCI
Gîteborg / Schweden;GOT
Gran Canaria / Spanien;LPA
Graz / ôsterreich;GRZ
Helsinki / Finnland;HEL
Heraklion / Griechenland;HER
Ibiza / Spanien;IBZ
Innsbruck / ôsterreich;INN
Istanbul - AtatÅrk / TÅrkei;IST
Istanbul - Sabiha Gîkcen / TÅrkei;SAW
Izmir / TÅrkei;ADB
Jerez de la Frontera / Spanien;XRY
Kattowitz / Polen;KTW
Kavalla / Griechenland;KVA
Kiew / Ukraine;KBP
Klagenfurt / ôsterreich;KLU
Konstanza / RumÑnien;CND
Kopenhagen / DÑnemark;CPH
Korfu / Griechenland;CFU
Kos / Griechenland;KGS
Moskau / Russland;SVO
Lamezia Terme / Italien;SUF
Larcana / Zypern;LCA
Las Palmas / Spanien (Gran Canaria);LPA
Lesbos / Griechenland;MJT
Linz / ôsterreich;LNZ
Lissabon / Portugal;LIS
London-City - Airport / England;LCY
London - Gatwick / England;LGW
London - Heathrow / England;LHR
London - Luton / England;LTN
London - Stansted / England;STN
Luxemburg / Luxemburg;LUX
Lyon / Frankreich;LYS
Madrid / Spanien;MAD
Mahon / Spanien (Menorca);MAH
Mailand / Italien;MIL
Malaga / Spanien;AGP
Malta / Malta;MLA
Marseille / Frankreich;MRS
Moskau - Domodedovo / Russland;DME
Moskau - Scheremetyevo / Russland;SVO
Moskau - Vnukovo / Russland;VKO
Neapel / Italien;NAP
Newcastle / England;NCL
Nizza / Frankreich;NCE
Olbia / Sardinien;OLB
Oslo / Norwegen;FBU
Palermo / Sizilien;PMO
Palma de Mallorca / Spanien;PMI
Paphos / Zypern;PFO
Paris - Charles de Gaule / Frankreich;CDG
Paris - Orly / Frankreich;ORY
Pisa / Italien;PSA
Porto / Portugal;OPO
Prag / Tscheschien;PRG
Reus bei Barcelone / Spanien;REU
Reykjavik / Island;KEF
Rhodos / Griechenland;RHO
Riga / Lettland;RIX
Rijeka / Kroatien;RJK
Rimini / Italien;RMI
Rom / Italien;FCO
Salzburg / ôsterreich;SZG
Samos / Griechenland;SMI
Santorin / Griechenland;JTR
Sevilla / Spanien;SVQ
Shannon / Irland;SNN
Sta. Cruz / Spanien (La Palma);SPC
St. Petersburg / Russland;LED
Stockholm - Arlanda / Schweden;ARN
Stockholm - Bromma / Schweden;BMA
Skavsta bei Stockholm / Schweden;NYO
Teneriffa - SÅd / Spanien;TFS
