nr	g	eink	gr1	gr2
1	2	1600	3	1
2	2	1700	3	1
3	2	1500	3	1
4	1	2000	2	1
5	2	1800	3	1
6	2	1500	1	1
7	2	1800	3	1
8	1	1800	2	1
9	1	1800	3	1
10	2	1600	1	1
11	1	2000	3	1
12	1	1800	1	1
13	2	1600	1	1
14	2	1300	1	1
15	1	1900	1	1
16	2	1700	2	1
17	2	1700	3	1
18	1	1900	2	1
19	1	1900	3	1
20	2	1800	1	1
21	2	900	2	2
22	1	1300	1	2
23	1	900	2	2
24	1	1800	1	2
25	2	1300	1	2
26	2	900	1	2
27	2	1400	1	2
28	2	1500	2	2
29	2	1400	1	2
30	2	1100	2	2
31	2	1800	2	2
32	2	1400	3	2
33	2	1000	2	2
34	1	300	1	2
35	1	1600	1	2
36	1	1200	2	2
37	1	1200	3	2
38	2	1600	2	2
39	1	1500	2	2
40	1	1400	3	2
41	2	600	3	3
42	2	700	3	3
43	1	500	3	3
44	2	1000	2	3
45	1	800	1	3
46	1	500	2	3
47	1	800	1	3
48	2	800	1	3
49	1	800	1	3
50	1	600	2	3
51	2	1000	2	3
52	1	800	2	3
53	1	600	2	3
54	1	300	1	3
55	2	900	2	3
56	2	700	3	3
57	1	700	3	3
58	1	900	3	3
59	1	900	3	3
60	1	800	3	3
