land;abk;hauptstadt;flaeche;einw_mio;einw_km2;ausl_proz
Baden-Württemberg;BW;Stuttgart;35751;10.88;304;14.2
Bayern;BY;München;70550;12.844;182;12.3
Berlin;BE;Berlin;892;3.52;3948;16.3
Brandenburg;BB;Potsdam;29654;2.485;84;3.6
Bremen;HB;Bremen;420;0.671;1599;15.9
Hamburg;HH;Hamburg;755;1.787;2366;15.4
Hessen;HE;Wiesbaden;21115;6.176;293;15.1
Mecklenburg-Vorpommern;MV;Schwerin;23212;1.612;69;4
Niedersachsen;NI;Hannover;47593;7.927;167;8.4
Nordrhein-Westfalen;NW;Düsseldorf;34113;17.866;524;12.7
Rheinland-Pfalz;RP;Mainz;19854;4.053;204;9.7
Saarland;SL;Saarbrücken;2567;0.996;388;10.5
Sachsen;SN;Dresden;18449;4.085;221;4
Sachsen-Anhalt;ST;Magdeburg;20452;2.245;110;3.7
Schleswig-Holstein;SH;Kiel;15802;2.859;181;6.9
Thüringen;TH;Erfurt;16202;2.171;134;3.5
